date,count,uniques
2026-05-31,107,53
2026-06-01,107,48
2026-06-02,36,18
2026-06-03,91,33
2026-06-04,71,33
2026-06-05,64,28
2026-06-06,11,7
2026-06-07,49,19
2026-06-08,7,4
2026-06-09,21,11
2026-06-10,6,5
2026-06-11,2,1
2026-06-12,8,8
2026-06-13,31,13
2026-06-14,88,31
2026-06-15,84,37
2026-06-16,41,17
2026-06-17,53,22
2026-06-18,6,6
2026-06-19,7,5
2026-06-20,12,7
2026-06-21,7,7
2026-06-22,10,6
2026-06-23,26,12
2026-06-24,14,10
2026-06-25,29,17
2026-06-26,13,9
2026-06-27,48,18
2026-06-28,57,24
