snapshot_date,clones_14d,clone_uniques_14d,views_14d,view_uniques_14d
2026-06-15,611,234,483,158
2026-06-16,592,218,501,161
2026-06-17,569,207,516,164
2026-06-18,574,210,502,164
2026-06-19,536,201,501,166
2026-06-20,471,177,500,166
2026-06-21,414,156,482,165
2026-06-22,415,155,351,100
2026-06-23,373,145,270,62
2026-06-24,376,148,229,55
2026-06-25,381,149,204,45
2026-06-26,389,154,197,39
2026-06-27,416,166,170,36
2026-06-28,421,167,160,40
2026-06-29,438,171,155,37
2026-06-30,407,165,125,34
2026-07-01,368,150,124,31
2026-07-02,331,139,124,30
2026-07-03,331,136,122,26
2026-07-04,357,148,117,28
2026-07-05,359,150,116,28
2026-07-06,355,146,113,27
2026-07-07,355,146,113,27
2026-07-08,357,147,112,28
2026-07-09,342,145,107,30
2026-07-10,366,149,106,31
2026-07-11,354,147,110,31
2026-07-12,365,150,106,25
2026-07-13,321,141,105,25
2026-07-14,269,126,105,26
2026-07-15,254,119,93,30
2026-07-16,272,130,310,215
2026-07-17,288,149,589,419
2026-07-18,277,147,703,473
2026-07-19,287,153,781,509
2026-07-20,296,163,884,544
2026-07-21,296,163,884,544
2026-07-22,297,166,919,560
2026-07-23,294,166,952,573
2026-07-24,302,169,994,589
2026-07-25,302,169,994,589
2026-07-26,288,163,1008,592
2026-07-27,311,170,1057,607
2026-07-28,311,170,1057,607
2026-07-29,303,173,1074,624
2026-07-30,289,167,864,456
2026-07-31,228,135,611,277
2026-08-01,234,136,508,225
2026-08-02,214,124,467,226
2026-08-03,214,124,467,226
2026-08-04,214,124,467,226
2026-08-05,204,113,460,258
2026-08-06,202,113,496,290
2026-08-07,196,110,519,301
2026-08-08,154,100,523,309
2026-08-09,197,111,559,320
2026-08-10,225,121,555,317
2026-08-11,221,121,549,308
2026-08-12,213,114,543,302
2026-08-13,223,119,550,308
2026-08-14,241,124,524,302
2026-08-15,232,118,525,299
2026-08-16,238,123,505,271
2026-08-17,243,125,492,262
2026-08-18,243,125,492,262
2026-08-19,232,121,394,195
2026-08-20,232,121,394,195
2026-08-21,269,136,301,149
2026-08-22,284,143,292,149
2026-08-23,243,135,263,147
2026-08-24,209,123,272,143
2026-08-25,207,126,266,147
2026-08-26,202,124,250,142
2026-08-27,193,121,246,143
2026-08-28,173,116,248,141
2026-08-29,168,115,250,137
2026-08-30,168,115,250,137
2026-08-31,172,115,262,138
2026-09-01,199,124,275,137
2026-09-02,212,133,288,143
2026-09-03,237,130,314,146
2026-09-04,213,117,322,140
2026-09-05,198,111,320,137
2026-09-06,198,111,314,131
2026-09-07,196,109,290,126
2026-09-08,196,109,290,126
2026-09-09,214,109,287,117
2026-09-10,216,111,284,110
2026-09-11,222,114,280,105
2026-09-12,227,119,273,110
