date,count,uniques
2026-05-31,16,1
2026-06-01,16,1
2026-06-02,22,6
2026-06-03,16,4
2026-06-04,16,2
2026-06-05,23,5
2026-06-06,135,74
2026-06-07,84,46
2026-06-08,44,10
2026-06-09,37,14
2026-06-10,10,9
2026-06-11,31,5
2026-06-12,23,9
2026-06-13,10,5
2026-06-14,34,6
2026-06-15,31,7
2026-06-16,8,5
2026-06-17,15,7
2026-06-18,15,4
2026-06-19,5,4
2026-06-20,4,2
2026-06-21,3,3
2026-06-22,3,3
2026-06-23,12,2
2026-06-24,3,3
2026-06-25,4,2
2026-06-26,13,10
2026-06-27,5,2
2026-06-28,4,4
2026-06-29,30,2
2026-06-30,8,4
2026-07-01,13,1
2026-07-02,8,6
2026-07-03,7,1
2026-07-04,3,2
2026-07-05,0,0
2026-07-06,2,2
2026-07-07,7,3
2026-07-08,2,2
2026-07-09,8,3
2026-07-10,9,5
